taxon_id	speciesName	order	patch_area	change_patch_area	habitat_intactness_p5	habitat_intactness_p10	habitat_intactness_p50	habitat_intactness_p90	habitat_intactness_p95	change_habitat_intactness_p5	change_habitat_intactness_p10	change_habitat_intactness_p50	change_habitat_intactness_p90	change_habitat_intactness_p95	patch_intactness_p5	patch_intactness_p10	patch_intactness_p50	patch_intactness_p90	patch_intactness_p95	change_patch_intactness_p5	change_patch_intactness_p10	change_patch_intactness_p50	change_patch_intactness_p90	change_patch_intactness_p95	habitat_breadth	range_size	gestation_length	weaning_age	realm	criterionB	rl_cat	threatened_status
136455	Spermophilus ralli	Rodentia	0.008732082	-0.000126186	0.002	0.004	0.029	0.111	0.138	0	-0.001	-0.001	0.001	0.001	0.192	0.207	0.275	0.33	0.338	-0.001	0	0	-0.006	-0.004	1	39624	27	34.393	Palearctic	0	LC	Non-threatened
8257	Euneomys mordax	Rodentia	0.398727183	-0.02303647	0.043	0.062	0.214	0.42	0.471	-0.006	-0.004	-0.014	-0.012	-0.015	0.256	0.272	0.358	0.496	0.551	-0.006	-0.005	-0.01	-0.019	-0.027	1	52482	30.181	23.67	Neotropic	0	LC	Non-threatened
136619	Lophuromys eisentrauti	Rodentia	0	0	0.002	0.003	0.006	0.011	0.012	0	-0.001	-0.001	-0.002	-0.002											1	55	30.436	12.922	Afrotropic	1	CR	Threatened
4274	Rusa marianna	Cetartiodactyla	0.098629702	-0.019083292	0.002	0.005	0.053	0.232	0.315	0	-0.001	-0.007	-0.03	-0.039	0.196	0.214	0.316	0.438	0.47	-0.005	-0.005	-0.024	-0.03	-0.039	3	107057	216.277	139.816	Indomalayan	0	VU	Threatened
13443	Microtus mexicanus	Rodentia	0.136284793	-0.005982342	0	0.002	0.052	0.274	0.361	0	0	-0.002	-0.007	-0.007	0.192	0.219	0.322	0.499	0.552	-0.001	-0.002	-0.002	-0.002	0.001	2	857858	22.553	20.653	Nearctic	0	LC	Non-threatened
5757	Fukomys ochraceocinereus	Rodentia	0.248917658	-0.083458845	0.008	0.019	0.138	0.386	0.494	-0.002	-0.005	-0.028	-0.055	-0.045	0.247	0.266	0.355	0.556	0.602	-0.001	0	0.012	-0.014	-0.017	3	782793	85.511	35.007	Afrotropic	0	LC	Non-threatened
41324	Crocidura horsfieldii	Eulipotyphla	0.170744813	-0.008431843	0	0	0.004	0.468	0.518	0	0	0	-0.023	-0.027	0.306	0.34	0.486	0.564	0.622	0.008	0.004	-0.02	-0.027	-0.008	2	24194	27.372	23.021	Indomalayan	0	DD	Data deficient
10274	Hyaena hyaena	Carnivora	0.353300377	-0.015400804	0	0.001	0.108	0.887	0.954	0	0	-0.017	-0.031	-0.017	0.302	0.353	0.738	0.967	0.982	0.002	0.003	-0.016	-0.015	-0.006	2	23461243	90.5	279	Palearctic	0	NT	Non-threatened
13168	Meriones sacramenti	Rodentia	0.006991229	-0.002288039	0	0	0	0.017	0.037	0	0	0	-0.002	-0.004	0.168	0.175	0.217	0.256	0.259	0	-0.003	-0.009	-0.027	-0.03	4	7867	23.5	20.392	Palearctic	1	VU	Threatened
5632	Crocidura greenwoodi	Eulipotyphla	0	0	0.001	0.001	0.005	0.024	0.038	0	0	0	-0.003	-0.006											3	52031	24.179	21.962	Afrotropic	0	LC	Non-threatened
23077	Wilfredomys oenax	Rodentia	0.041269167	-0.00030196	0	0.002	0.029	0.125	0.184	0	-0.001	-0.001	0.002	-0.001	0.16	0.184	0.322	0.562	0.638	-0.002	-0.002	-0.002	0	-0.001	1	513313	28.19	25.074	Neotropic	1	EN	Threatened
22586	Tympanoctomys barrerae	Rodentia	0.310792845	-0.017076882	0.021	0.038	0.169	0.472	0.545	-0.004	-0.004	-0.008	-0.024	-0.021	0.243	0.263	0.395	0.573	0.601	-0.003	-0.003	-0.012	-0.015	-0.02	1	281316	84.272	10	Neotropic	0	NT	Non-threatened
136808	Pseudomys calabyi	Rodentia	0.693415233	-0.00039312	0.103	0.124	0.557	0.857	0.896	0	0	-0.001	0	-0.001	0.369	0.416	0.687	0.877	0.926	0	0	0	0	-0.001	2	20350	35.46	30.771	Australasia	0	VU	Threatened
6103	Cynopterus brachyotis	Chiroptera	0.111907766	-0.041299348	0	0	0.024	0.283	0.367	0	0	-0.004	-0.05	-0.051	0.25	0.272	0.348	0.598	0.663	-0.007	-0.007	0.029	-0.06	-0.014	4	2694183	120	42	Indomalayan	0	LC	Non-threatened
12812	Marmosa andersoni	Didelphimorphia	0.871115575	-0.020089146	0.099	0.2	0.571	0.95	0.958	-0.007	-0.024	-0.003	-0.055	-0.052	0.386	0.436	0.788	0.953	0.958	-0.023	-0.021	-0.062	-0.053	-0.051	1	15929	16.369	72.683	Neotropic	0	DD	Data deficient
136268	Carollia sowelli	Chiroptera	0.121147942	-0.023421074	0	0.001	0.028	0.287	0.424	0	0	-0.005	-0.042	-0.044	0.215	0.247	0.388	0.706	0.797	-0.005	-0.005	-0.002	0.013	-0.007	2	781433	114.251	57.757	Neotropic	0	LC	Non-threatened
136633	Ctenomys roigi	Rodentia	0	0	0	0	0.008	0.024	0.033	0	0	-0.002	-0.001	-0.001											3	87	95.861	35.548	Neotropic	1	CR	Threatened
39832	Semnopithecus entellus	Primates	0.002227183	-7.30516E-05	0	0	0.003	0.039	0.054	0	0	-0.001	-0.004	-0.005	0.055	0.099	0.269	0.545	0.58	0.006	-0.002	0	0.001	-0.002	9	561247	192	349.405	Indomalayan	0	LC	Non-threatened
21160	Sundasciurus philippinensis	Rodentia	0.031673229	-0.007025547	0.001	0.002	0.018	0.128	0.183	0	-0.001	-0.003	-0.017	-0.022	0.16	0.184	0.272	0.424	0.445	0.002	0.003	-0.011	-0.052	-0.008	4	120133	51.138	45.649	Indomalayan	0	LC	Non-threatened
64589126	Rhinolophus mossambicus	Chiroptera	0.044277768	-0.012538041	0.001	0.002	0.027	0.158	0.234	0	0	-0.005	-0.025	-0.035	0.213	0.239	0.335	0.483	0.559	-0.006	-0.004	-0.016	0.018	0.011	4	1178334	92.54	66.655	Afrotropic	0	LC	Non-threatened
88151044	Eptesicus taddeii	Chiroptera	0.087280961	3.93778E-05	0.001	0.003	0.022	0.192	0.314	0	-0.001	-0.001	-0.001	0	0.174	0.197	0.344	0.56	0.613	-0.002	0.002	0.002	-0.001	0.001	1	50790			Neotropic	0	DD	Data deficient
6776	Dobsonia pannietensis	Chiroptera	0.010914565	0.001505457	0.03	0.054	0.179	0.209	0.213	-0.002	-0.003	-0.027	-0.027	-0.026	0.338	0.345	0.473	0.506	0.538	-0.024	-0.023	-0.024	-0.02	-0.026	3	5314	156.43	173.1	Australasia	0	NT	Non-threatened
15664	Otonyctomys hatti	Rodentia	0.266076011	-0.021393085	0.005	0.013	0.102	0.498	0.632	-0.001	-0.002	-0.01	-0.023	-0.012	0.216	0.245	0.421	0.707	0.78	-0.005	-0.005	-0.002	-0.001	-0.004	1	128219	26.083	25.966	Neotropic	0	LC	Non-threatened
16711	Peroryctes raffrayana	Peramelemorphia	0.374810471	-0.170706619	0.031	0.062	0.242	0.496	0.555	-0.007	-0.016	-0.062	-0.113	-0.108	0.299	0.307	0.404	0.568	0.584	0.001	0.002	-0.023	-0.032	-0.011	4	299426	15	60	Australasia	0	LC	Non-threatened
17460	Plagiodontia aedium	Rodentia	0.005407457	-0.005217721	0.003	0.004	0.024	0.12	0.15	-0.001	0	-0.001	-0.01	-0.01	0.183	0.188	0.221	0.253	0.257	-0.041	-0.046	-0.079	-0.097	-0.101	2	10541	136.5	77.355	Neotropic	0	EN	Threatened
17347	Hypsugo lophurus	Chiroptera	0	0	0.009	0.009	0.021	0.022	0.022	0	0	-0.001	-0.001	-0.001											2	3	73.408	44.228	Indomalayan	0	DD	Data deficient
16661	Peromyscus furvus	Rodentia	0.00558774	-0.000123259	0	0.001	0.006	0.035	0.053	0	0	-0.001	-0.002	-0.005	0.067	0.076	0.184	0.299	0.31	0	-0.005	-0.005	-0.005	-0.007	1	24339	31.027	26.661	Neotropic	0	DD	Data deficient
21877	Thyroptera discifera	Chiroptera	0.68858041	-0.015784833	0.008	0.028	0.677	0.986	0.995	-0.002	-0.005	-0.053	-0.003	-0.001	0.371	0.46	0.859	0.993	0.998	-0.007	-0.024	-0.028	-0.002	0	3	5742728	133.544	64.156	Neotropic	0	LC	Non-threatened
12868	Mastomys natalensis	Rodentia	0.125781619	-0.029386459	0.001	0.003	0.055	0.296	0.417	0	-0.001	-0.01	-0.04	-0.047	0.237	0.261	0.374	0.665	0.769	-0.001	0	0.002	0.017	0.008	8	16570251	23.538	20.5	Afrotropic	0	LC	Non-threatened
136222	Kerodon acrobata	Rodentia	0.083892892	-0.011136587	0.005	0.006	0.029	0.16	0.205	-0.001	-0.001	-0.002	-0.014	-0.013	0.126	0.146	0.214	0.349	0.378	-0.005	-0.007	-0.009	-0.023	-0.015	3	24424	100.323	57.681	Neotropic	0	DD	Data deficient
21206	Sylvilagus graysoni	Lagomorpha	0.338150289	-0.00867052	0.016	0.028	0.139	0.447	0.498	-0.008	-0.011	-0.014	-0.003	-0.003	0.222	0.251	0.394	0.511	0.529	-0.004	-0.011	0	0.005	-0.002	4	346	33.094	25.903	Neotropic	1	EN	Threatened
11495	Lemniscomys striatus	Rodentia	0.076542382	-0.017635608	0	0.001	0.035	0.214	0.314	0	0	-0.007	-0.029	-0.037	0.229	0.252	0.355	0.638	0.76	0	0.001	0.003	0.031	-0.016	1	4329536	25.15	30	Afrotropic	0	LC	Non-threatened
41403	Sorex merriami	Eulipotyphla	0.075442547	-0.000109326	0.002	0.007	0.033	0.169	0.273	0.001	0	0	-0.001	0.001	0.168	0.192	0.332	0.66	0.754	0	0	0.001	0.001	0	3	1801954	20.409	24.92	Nearctic	0	LC	Non-threatened
41408	Sorex ornatus	Eulipotyphla	0.110446699	-0.001114425	0	0	0.015	0.251	0.438	0	0	0.001	-0.003	-0.007	0.171	0.213	0.413	0.701	0.759	0.002	0	-0.004	-0.006	-0.006	5	193822	21.305	32.876	Nearctic	0	LC	Non-threatened
21456	Taphozous hildegardeae	Chiroptera	0.006473454	-0.001029348	0	0.001	0.009	0.055	0.078	0	0	-0.001	-0.008	-0.011	0.106	0.114	0.173	0.31	0.329	-0.009	-0.01	-0.003	-0.004	-0.011	3	43717	99.106	52.965	Afrotropic	1	EN	Threatened
136541	Aethalops aequalis	Chiroptera	0.470220038	-0.069205298	0.032	0.051	0.254	0.508	0.569	-0.001	-0.009	-0.041	-0.037	-0.075	0.279	0.302	0.414	0.573	0.604	-0.02	-0.019	-0.005	-0.072	-0.072	3	93620	152.2	91.739	Indomalayan	0	LC	Non-threatened
16662	Peromyscus grandis	Rodentia	0	0	0.001	0.001	0.004	0.037	0.044	0	0	0	-0.005	-0.009											1	4006	31.095	31.22	Neotropic	1	NT	Non-threatened
41648	Martes americana	Carnivora	0.782217971	-0.001750396	0.022	0.06	0.887	1	1	0.001	0	-0.001	0	0	0.452	0.586	0.982	1	1	0	-0.001	0	0	0	2	7546293	28	45.73	Nearctic	0	LC	Non-threatened
42460	Rhinosciurus laticaudatus	Rodentia	0.121605328	-0.032385379	0.001	0.003	0.065	0.311	0.435	-0.001	-0.001	-0.01	-0.042	-0.036	0.265	0.29	0.399	0.627	0.672	-0.011	-0.008	0.018	-0.085	-0.003	1	913159	61.317	56.445	Indomalayan	0	NT	Non-threatened
42661	Elephantulus intufi	Macroscelidea	0.266790433	-0.013828911	0.017	0.028	0.147	0.478	0.614	-0.003	-0.003	-0.009	-0.009	-0.007	0.239	0.265	0.413	0.703	0.78	0.001	-0.001	0.002	0.005	0.008	3	1218968	51.741	38	Afrotropic	0	LC	Non-threatened
5571	Crocidura longipes	Eulipotyphla	0	0	0	0.001	0.001	0.003	0.003	0	-0.001	0	-0.001	-0.001											1	810	30.487	26.796	Afrotropic	0	DD	Data deficient
3600	Callosciurus notatus	Rodentia	0.15240278	-0.061843512	0	0.001	0.074	0.321	0.416	0	0	-0.011	-0.046	-0.048	0.265	0.282	0.346	0.596	0.658	-0.009	-0.004	0.034	-0.065	-0.108	1	1496600	47.785	58.597	Indomalayan	0	LC	Non-threatened
